AdvancedStats,,,,,,,,,,,,,,,,,
player_id,situation,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8482635,5on5,2021,1.63,1.61,1,1,11,7,6,24,2,0,1,11,1,59,5
8482635,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482635,5on4,2021,0.03,0.03,0,0,1,0,0,1,0,0,0,1,0,0,0
8482635,all,2020,1.08,1.06,1,1,5,3,2,10,3,1,0,4,1,38,2
8482635,5on5,2020,1.08,1.06,1,1,5,3,2,10,3,1,0,4,1,38,2
8482635,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482635,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482634,all,2021,0.36,0.36,0,1,2,2,1,5,1,0,0,2,0,1,3
8482634,5on5,2021,0.36,0.36,0,1,2,2,1,5,1,0,0,2,0,1,3
8482634,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482634,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482624,all,2021,0.56,0.55,0,1,15,6,11,32,1,0,1,15,0,5,1
8482624,5on5,2021,0.56,0.55,0,1,15,6,11,32,1,0,1,15,0,5,1
8482624,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482624,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482623,all,2020,0.7,0.67,0,0,7,1,2,10,0,0,2,7,6,12,1
8482623,5on5,2020,0.7,0.67,0,0,7,1,2,10,0,0,2,7,6,12,1
8482623,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482623,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482475,all,2021,7.4,7.26,5,2,98,45,46,189,14,7,11,91,0,50,19
8482475,5on5,2021,6.49,6.35,5,2,83,41,41,165,13,6,11,77,0,48,16
8482475,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482475,5on4,2021,0.62,0.61,0,0,14,1,5,20,1,1,0,13,0,1,2
8482408,all,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8482408,5on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8482408,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482408,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482369,all,2020,0.08,0.08,0,0,3,0,3,6,0,0,0,3,0,2,1
8482369,5on5,2020,0.08,0.08,0,0,3,0,3,6,0,0,0,3,0,2,1
8482369,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482369,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482248,all,2020,0.89,0.9,0,0,5,1,2,8,1,1,0,4,29,14,2
8482248,5on5,2020,0.89,0.9,0,0,5,1,2,8,1,1,0,4,28,14,2
8482248,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8482248,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482247,all,2020,1.41,1.35,3,3,33,11,14,58,6,0,0,33,0,30,8
8482247,5on5,2020,1.31,1.26,3,2,29,8,14,51,5,0,0,29,0,27,6
8482247,4on5,2020,0.01,0.01,0,0,1,0,0,1,0,0,0,1,0,3,1
8482247,5on4,2020,0.05,0.04,0,1,2,2,0,4,1,0,0,2,0,0,1
8482245,all,2021,3.79,3.62,6,10,92,35,67,194,22,6,8,86,0,155,14
8482245,5on5,2021,3.12,2.96,6,9,83,34,59,176,21,6,8,77,0,141,10
8482245,4on5,2021,0.01,0.01,0,0,1,0,2,3,0,0,0,1,0,10,2
8482245,5on4,2021,0.11,0.11,0,0,4,0,2,6,0,0,0,4,0,0,0
8482245,all,2020,1.71,1.7,6,5,39,16,30,85,14,3,1,36,0,89,8
8482245,5on5,2020,1.54,1.52,5,5,36,15,30,81,13,3,1,33,0,78,6
8482245,4on5,2020,0.08,0.08,0,0,3,0,0,3,0,0,0,3,0,10,1
8482245,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482243,all,2021,0.01,0.01,0,0,1,0,0,1,0,0,0,1,0,0,1
