player_id,season,games_played,penality_minutes,ice_time,game_score,shifts
8478133,2021,72,22.0,67371.0,29.66,1581.0
8479359,2021,12,9.0,6512.0,2.6,151.0
8480336,2021,6,4.0,6614.0,3.8,133.0
8477887,2021,44,11.0,32825.0,4.78,852.0
8471274,2021,72,34.0,81784.0,40.1,1605.0
8480800,2021,76,28.0,115056.0,65.45,2112.0
8478046,2021,76,16.0,57980.0,42.81,1307.0
8476479,2021,79,38.0,85916.0,68.9,1905.0
8482125,2021,9,2.0,6626.0,-0.45,156.0
8479419,2021,19,13.0,14804.0,2.3,327.0
8477969,2021,72,38.0,67630.0,28.47,1490.0
8479421,2021,19,2.0,18629.0,5.83,395.0
8470610,2021,82,28.0,75198.0,33.31,1720.0
8476432,2021,59,22.0,72445.0,38.96,1463.0
8478136,2021,66,82.0,73990.0,12.58,1585.0
8480980,2021,35,15.0,20782.0,10.56,478.0
8476372,2021,43,29.0,33742.0,2.15,817.0
8475744,2021,79,34.0,96129.0,69.73,1836.0
8478366,2021,71,22.0,56058.0,43.31,1207.0
8475236,2021,69,22.0,56250.0,2.44,1310.0
8478542,2021,82,14.0,77918.0,65.2,1650.0
8478173,2021,6,11.0,4752.0,0.7,119.0
8479968,2021,31,6.0,23279.0,8.81,477.0
8480845,2021,57,18.0,40359.0,7.82,987.0
8476907,2021,14,4.0,6694.0,1.4,158.0
8475799,2021,75,24.0,66779.0,62.39,1430.0
8475158,2021,78,12.0,89298.0,58.8,1850.0
8476889,2021,77,52.0,72852.0,10.28,1723.0
8479543,2021,51,61.0,23978.0,9.14,596.0
8477839,2021,71,14.0,65118.0,42.13,1364.0
8479536,2021,23,4.0,15431.0,5.15,379.0
8478432,2021,53,14.0,41698.0,3.04,997.0
8479337,2021,82,19.0,102613.0,74.99,1895.0
8479992,2021,80,56.0,69687.0,17.89,1588.0
8480028,2021,55,14.0,45944.0,13.42,1073.0
8477018,2021,58,32.0,53819.0,21.0,1148.0
8482815,2021,3,0.0,1807.0,-1.03,45.0
8475168,2021,78,38.0,88984.0,84.61,1698.0
8475855,2021,82,4.0,72868.0,51.48,1686.0
8477974,2021,1,0.0,600.0,0.0,12.0
8471685,2021,81,14.0,100940.0,77.22,1980.0
8476878,2021,56,17.0,49692.0,18.99,1148.0
8480008,2021,28,8.0,17176.0,14.21,444.0
8475324,2021,76,21.0,88215.0,31.1,1807.0
8475200,2021,76,44.0,95590.0,46.18,1907.0
8476396,2021,2,2.0,1236.0,-0.13,31.0
8477472,2021,3,2.0,2457.0,2.4,60.0
8479999,2021,40,4.0,38689.0,16.89,810.0
8480901,2021,44,6.0,31425.0,12.58,730.0
8477446,2021,51,60.0,31791.0,15.29,725.0
8479400,2021,81,86.0,91951.0,64.12,1767.0
8478057,2021,30,16.0,15287.0,10.58,366.0
8477919,2021,76,8.0,74391.0,42.55,1448.0
8478446,2021,2,2.0,1109.0,0.33,25.0
8481133,2021,1,2.0,515.0,-0.17,13.0
8480878,2021,25,0.0,20898.0,2.25,474.0
8480979,2021,10,2.0,8490.0,3.2,191.0
8474038,2021,27,2.0,20413.0,3.79,491.0
